course,q_num,slot,q_text,option,count,pct,n
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,보안 인식 제고,4,18.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,보안기술 능력 향상,10,45.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,업무에의 활용,1,4.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,교육 의무 시간 이수,5,22.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,상급자 / 동료의 추천,2,9.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),1,other,귀하께서는 어떤 목적으로 이번 사이버안보훈련센터의 교육과정을 수강하셨습니까?,기타,0,0.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),4,difficulty,이번 교육의 난이도는 어떠하였습니까?,쉽다,4,18.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),4,difficulty,이번 교육의 난이도는 어떠하였습니까?,적당하다,16,72.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),4,difficulty,이번 교육의 난이도는 어떠하였습니까?,어렵다,2,9.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),6,satisfaction,이번 교육의 만족도는 어떠하였습니까?,높음,14,63.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),6,satisfaction,이번 교육의 만족도는 어떠하였습니까?,보통,8,36.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),6,satisfaction,이번 교육의 만족도는 어떠하였습니까?,낮음,0,0.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),8,utility,이번 교육의 업무 활용도는 어떠하십니까?,높음,9,40.0,21
2025년 공급망 보안을 위한 안전한 소프트웨어 개발(1차),8,utility,이번 교육의 업무 활용도는 어떠하십니까?,보통,12,54.0,21
