course,n,난이도_쉬움%,난이도_적당%,난이도_어려움%,만족도_높음%,만족도_보통%,만족도_낮음%,활용도_높음%,활용도_낮음%,난이도_지수
2026년 사이버파트너스 역량강화 초급 과정 1차,23,0,30,69,73,21,4,56,8,0.69
2026년 웹 해킹 및 시스템 모의침투 교육 1차,14,0,42,57,71,28,0,35,7,0.57
2026년 생성형 AI 구축 및 취약점 실습 2차,18,5,33,61,61,33,5,38,5,0.56
2025년 악성코드 분석(2차),18,0,50,50,61,38,0,27,16,0.5
2026년 사이버보안 기술 기초 실습 1차,19,0,52,47,63,36,0,47,5,0.47
2026년 직무 기반 사고조사 전문가 트랙 1차,22,4,50,45,77,22,0,77,0,0.41
2026년 AI 보안의 이해(1차),45,0,64,35,73,22,4,60,4,0.35
2025년 악성코드 분석(1차),20,5,55,40,85,10,5,35,15,0.35
2025년 군암호기술(2차),20,0,65,35,40,50,10,35,25,0.35
2026년 사이버보안 기술 기초 실습 2차,20,0,70,30,85,15,0,45,10,0.3
2025년 랜섬웨어 원리 및 대응(1차),17,0,70,29,52,47,0,35,0,0.29
2026년 사이버파트너스 역량강화 중급 과정,23,4,65,30,52,43,4,39,8,0.26
"2025년 최신 사이버보안 기술 이해(1차, 제로 트러스트)",36,0,75,25,69,30,0,36,8,0.25
2026년 제어시스템 사이버공격 대응 실전 훈련(2차),37,2,71,26,71,28,0,76,0,0.24
2026년 제어시스템 사이버공격 대응 실전 훈련(1차),45,0,80,20,53,44,2,62,0,0.2
2026년 생성형 AI 구축 및 취약점 실습 1차,15,6,66,26,60,26,13,46,26,0.2
2026년 정보보안업무이해(1차),42,2,76,21,50,45,4,30,9,0.19
2025년 윤리적 해커 양성(6기)_하반기,31,0,83,16,77,22,0,70,0,0.16
2025년 사고 조사 기술 기초 실습(1차),13,7,69,23,176,23,0,61,0,0.16
2025년 군암호기술(1차),34,5,73,20,58,41,0,44,0,0.15
2025년 사이버보안 기술 기초 실습(1차),20,5,75,20,75,25,0,40,5,0.15
2026년 사이버보안 실태 평가(1차),40,2,82,14,56,43,0,56,4,0.12
2026년 금융 사이버위협 동향 및 대응방안(1차),18,0,88,11,55,38,5,38,11,0.11
2025년 보안데이터 분석 및 관제(1차),20,10,70,20,40,50,10,30,5,0.1
2025년 제어시스템 사이버공격 대응 실전 훈련(2차),40,2,87,10,42,57,0,60,0,0.08
2025년 사이버보안 실태 평가(3차),29,3,86,10,75,24,0,68,0,0.07
